track_id,title,permalink,permalink_url,created_at,last_modified,description,duration,full_duration,embeddable_by,genre,likes_count,commentable,comment_count,downloadable,download_count,user_id,license,reposts_count,sharing,tag_list,label_name,public,publisher_metadata-id,publisher_metadata-urn,publisher_metadata-artist,publisher_metadata-album_title,publisher_metadata-contains_music,publisher_metadata-writer_composer,publisher_metadata-writer_isrc,purchase_title,purchase_url,release_date,secret_token,uri,artwork_url,display_date,state,track_format,waveform_url,media-first_transcoding-url,media-first_transcoding-preset,media-first_transcoding-duration,media-first_transcoding-snipped,media-first_transcoding-format-protocol,media-first_transcoding-format-mime_type,media-first_transcoding-quality,media-second_transcoding-url,media-second_transcoding-preset,media-second_transcoding-duration,media-second_transcoding-snipped,media-second_transcoding-format-protocol,media-second_transcoding-format-mime_type,media-second_transcoding-quality,media-third_transcoding-url,media-third_transcoding-preset,media-third_transcoding-duration,media-third_transcoding-snipped,media-third_transcoding-format-protocol,media-third_transcoding-format-mime_type,media-third_transcoding-quality,track_authorization,monetization_model,policy
603565815,Redes Sociais,redes-sociais,https://soundcloud.com/mcluandabs/redes-sociais,2019-04-09T21:47:21Z,2021-09-08T12:13:01Z,None,206881,206881,all,None,None,True,809,False,0,558458709,all-rights-reserved,1213,public,None,None,True,603565815,soundcloud:tracks:603565815,MC Luan da BS,Redes Sociais,True,None,QZGLS1934789,None,None,2019-04-08T00:00:00Z,None,https://api.soundcloud.com/tracks/603565815,https://i1.sndcdn.com/artworks-rqhl63fMZbdI-0-large.jpg,2019-04-08T00:00:00Z,finished,single-track,https://wave.sndcdn.com/xoeHbJzK5KF7_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6Ijg0YTdjMzMzLWVkYTAtNDQxYi1hYjY0LTYxYzEwOWRlYmFjZCIsImlhdCI6MTYzOTU1Nzc5OX0.dvu9jaNmYo20ril5AoikndhaeEX5nqBCKPfblou5N1E,AD_SUPPORTED,MONETIZE
585198066,Rodman,rodman,https://soundcloud.com/pardi/rodman,2019-03-05T08:10:00Z,2021-12-13T09:37:26Z,None,214518,214518,all,Rap/Hip Hop,90236,True,1061,False,0,963056,all-rights-reserved,2532,public,None,Atlantic Records,True,585198066,soundcloud:tracks:585198066,Pardison Fontaine,Rodman,True,None,USAT21901858,None,None,2019-03-08T00:00:00Z,None,https://api.soundcloud.com/tracks/585198066,https://i1.sndcdn.com/artworks-KKGDQT8rfW4n-0-large.jpg,2019-03-08T05:00:00Z,finished,single-track,https://wave.sndcdn.com/bZXTvg4OUkGJ_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6ImY3NjI4ZWI0LTM3NTMtNDFjYi1iODAwLTcyNTJmZGY3OTMwYSIsImlhdCI6MTYzOTU1Nzc5OX0.B7R9g1P3ivGRbAdeesUpNLZY83lpmkMKjQQl57-knoo,AD_SUPPORTED,MONETIZE
69234993,Racionais Mc's A Vítima,racionais-mcs-a-v-tima,https://soundcloud.com/rap-nativo/racionais-mcs-a-v-tima,2012-11-28T23:10:06Z,2021-09-23T21:13:35Z,None,503060,503060,all,Rap,84609,True,319,True,100,29315774,all-rights-reserved,1955,public,None,None,True,None,None,None,None,None,None,None,None,None,None,None,https://api.soundcloud.com/tracks/69234993,https://i1.sndcdn.com/artworks-000035112167-0jw5bx-large.jpg,2012-11-28T23:10:06Z,finished,single-track,https://wave.sndcdn.com/Hg8rT28FyjXs_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6ImY2Y2JlMTc1LWJlZjYtNGJjZS1iM2VlLWRjMjg0MGE0Yjk3YSIsImlhdCI6MTYzOTU1Nzc5OX0.8teY66cu34zqMO4LOnzP3CRYLObXNo5c5wTtenFhfeM,BLACKBOX,MONETIZE
221859958,Remembering Myself,stephen-remembering-myself,https://soundcloud.com/ithinkimcrashin/stephen-remembering-myself,2015-09-01T14:27:25Z,2021-10-28T21:03:05Z,"Vinyls now available! 
https://merch.sincerelystephen.com/

My album is a story of triumph, of letting go of all the uncertainty in my head and learning to walk the path of my own heart. “Sincerely” is about realizing how much better this world would be if we all loved ourselves, if we weren’t afraid of being vulnerable and honest. It doesn’t matter who’s president or what technology we invent or what extremists we destroy, the only thing I know is this:

There will never be peace if we do not all love ourselves.

--

From my debut album “Sincerely” 
Written, performed, produced, mixed, and mastered by Stephen

--

Listen on Spotify: open.spotify.com/album/0HOofIzmgO1zaHMsoU475w
Listen on Apple Music: itun.es/us/RA8Ybb
From me, to you. http://sincerelystephen.com",210173,210173,all,HalfwayHouse,None,True,469,False,0,10920564,all-rights-reserved,8860,public,electronic,Halfway House,True,221859958,soundcloud:tracks:221859958,Stephen,None,True,Stephen Swartz,TCACH1591548,ON SPOTIFY,https://open.spotify.com/artist/64N1HzkQEXvjlJBQinWeu2,2015-08-21T00:00:00Z,None,https://api.soundcloud.com/tracks/221859958,https://i1.sndcdn.com/artworks-000128167683-9ogvpt-large.jpg,2015-09-01T16:21:43Z,finished,single-track,https://wave.sndcdn.com/uOvTHIX2r27h_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjBhNDBiZDQ0LTQ2ODAtNDU1OS1iYmIyLWIwMmQ0ZDc4NDQ5MCIsImlhdCI6MTYzOTU1Nzc5OX0._PVeuB2s6nxjJKnilSWuBsWxyUn7sh8Kj5CfX7aPr9s,AD_SUPPORTED,MONETIZE
64538379,Romeo Santos _ Mi Santa ♪,romeo-santos-mi-santa,https://soundcloud.com/victor-jairo-pacheco-arancibia/romeo-santos-mi-santa,2012-10-23T21:12:55Z,2021-04-19T17:39:16Z,None,186218,186218,all,Bachata,37557,True,198,False,0,25912048,all-rights-reserved,704,public,None,None,True,None,None,None,None,None,None,None,None,None,None,None,https://api.soundcloud.com/tracks/64538379,https://i1.sndcdn.com/artworks-000032750486-wo8j6r-large.jpg,2012-10-23T21:12:55Z,finished,single-track,https://wave.sndcdn.com/0YurnA6khCiO_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjNiOGQ4MmM0LTdhZDYtNGM3Yy1iMjdhLTI1YjAyZmJiMjQ4ZiIsImlhdCI6MTYzOTU1Nzc5OX0.Cau7Kg-J5FTJwuEwEmWCJbU7lCp3uShOwuV94zVWSig,BLACKBOX,MONETIZE
258677479,"Redhead Roman - FREE Signature Pack [Drum Loops, Kicks, Buildups, Presets, Drop Stabs & More!]",redhead-roman-free-signature-pack,https://soundcloud.com/w-a-production/redhead-roman-free-signature-pack,2016-04-12T20:11:49Z,2021-12-11T04:11:25Z,"Free Download: http://waproduction-samples.com/free-packs/redhead-roman-free-signature-pack-286

""Redhead Roman - FREE Signature Pack"" is an exclusive pack by Redhead Roman stuffed with Roman's handpicked signature sounds from his most famous tracks. Inside this stunning freebie you will find a huge variety of prefectly crafted and asbolutely unique samples, loops & presets. Enjoy this redhead gift! :)

Product Details:
• Buildups
• Claps & Snares 
• Drop Stabs
• Drum Loops
• Hihats
• Kicks
• Super Drums Loops
• Sylenth1 Presets
• 100% Royalty Free",133680,133680,all,Dance & EDM,82208,True,317,False,0,68117170,all-rights-reserved,66065,public,"Electro ""Electro House"" Progressive ""Progressive House"" Bass ""Bass House"" ""Free Samples"" ""Redhead Roman"" Signature Free Wobble Presets",None,True,258677479,soundcloud:tracks:258677479,None,None,None,None,None,FREE DOWNLOAD!!,http://waproduction-samples.com/free-packs/redhead-roman-free-signature-pack-286,None,None,https://api.soundcloud.com/tracks/258677479,https://i1.sndcdn.com/artworks-000157778604-iuvjdw-large.jpg,2016-04-12T20:11:49Z,finished,single-track,https://wave.sndcdn.com/NUBUVonGYlNE_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjE1NGEyZjk1LTFlYzUtNDc2MS05MWRjLWIzM2QzOTRmYjI4NSIsImlhdCI6MTYzOTU1Nzc5OX0.1-GxoAPU70o5X6ZtB0hAE0NYbDSYt5jH23xa_HIY4DQ,NOT_APPLICABLE,ALLOW
471028758,Remedy Prod @Bubbagotbeatz,remedy-prod-bubbagotbeatz,https://soundcloud.com/aligatie/remedy-prod-bubbagotbeatz,2018-07-13T03:59:51Z,2021-11-29T02:53:16Z,"Stream : http://hyperurl.co/Remedyy
Youtube: http://www.youtube.com/c/Aligatie
Instagram: http://www.instagram.com/aligatie
Twitter: http://www.twitter.com/aligatie
Lyrics: https://genius.com/Ali-gatie-remedy-lyrics
Contact: aligatie@icloud.com

Prod by @Bubbagotbeatz
Mixed & Mastered by @dotdaengineer
Art work by : https://www.instagram.com/baileywhissel/

Li$N.",187471,187471,all,R&B & Soul,57725,True,502,False,1322,29407250,all-rights-reserved,1407,public,"aligatie remedy cantlie losingyou ""ali gatie"" latenightsfeelingsickyoumyremedy freestyle twitter",None,True,471028758,soundcloud:tracks:471028758,Ali Gatie,None,True,Bubbagotbeatz,QZDA51805603,None,None,None,None,https://api.soundcloud.com/tracks/471028758,https://i1.sndcdn.com/artworks-000373224069-palo1h-large.jpg,2018-07-13T03:59:51Z,finished,single-track,https://wave.sndcdn.com/ONR06EMukz9l_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6ImQxMjE5YWZiLTZlNjAtNDgwMy05NWRhLTgxNTU0M2E3YmQwNSIsImlhdCI6MTYzOTU1Nzc5OX0.HScmPkSMQUyJyhk2x1DlamZuSEL5VIc9JKEWVz7lEMY,AD_SUPPORTED,MONETIZE
36831648,"Relaxing Music - Meditation, Inspiration, Focus - relaxdaily N°041",relaxing-music-meditation,https://soundcloud.com/relaxdaily/relaxing-music-meditation,2012-02-16T18:21:30Z,2021-02-24T13:28:16Z,"Listen to a positive background instumental. Relaxing music to slow down, chill, for meditation, yoga or just be. In today's fast and loud environment it can be a healthy habit to slow down for a few minutes daily. Let this music be your soundtrack. 

While this slow instrumental with piano and guitar can be your perfect relaxation music, it also should work as study music, music at work, office music, spa music and music for videos. This track can enhance your creativity, thinking and concentration. Use it wisely ;)
Hope you enjoy my creation, 
Have a good time, 
Michael (relaxdaily)

>>> The CD 'Season 1' is available exclusively via my CD shop: https://shop.relaxdaily.net/product/season-1/

Please visit and share my website: https://relaxdaily.net
Visit my YouTube channel for playlists and more music:  http://goo.gl/1WLRB

© 2012 relaxdaily - Michael Fesser.  All rights reserved.",469020,469020,all,Ambient,25263,True,342,False,7835,9766050,all-rights-reserved,1605,public,"""relaxing music"" ""meditation music"" ""musica anti-stress"" ""positive background instrumental"" ""background music"" ""background instrumental"" ""slow music"" ""yoga music"" ""soundtrack music"" ""instrumental music"" ""piano music"" ""study music"" ""work music"" ""office music"" ""music for videos"" instrumentals playlist positive music licensing ""sleep music"" ""music for a movie"" ""media music"" ""music background"" ""background music instrumental"" relaxdaily",Relaxdaily,True,36831648,soundcloud:tracks:36831648,relaxdaily,Season 1,True,Michael Fesser,DETQ41500089,None,None,2012-02-15T00:00:00Z,None,https://api.soundcloud.com/tracks/36831648,https://i1.sndcdn.com/artworks-000147517777-jv1w18-large.jpg,2012-02-16T18:21:30Z,finished,single-track,https://wave.sndcdn.com/SVQnnkUqWvvH_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjZlNGY0ODQ4LWM5YTctNDc3Ni1iNDRlLThmMDU5MGZkYzc1NCIsImlhdCI6MTYzOTU1Nzc5OX0.Z6hUROps-E8_yXotoz4pD4F-gwy-Q1kc9wkeNJxxkP8,AD_SUPPORTED,MONETIZE
998314378,ruth b - dandelions ( slowed + reverb ),ruth-b-dandelions-slowed-reverb,https://soundcloud.com/kim-renthiast/ruth-b-dandelions-slowed-reverb,2021-03-04T07:30:08Z,2021-12-15T02:30:02Z,None,264803,264803,all,None,61424,True,1872,False,0,853847530,all-rights-reserved,675,public,None,None,True,998314378,soundcloud:tracks:998314378,None,None,True,None,None,None,None,None,None,https://api.soundcloud.com/tracks/998314378,https://i1.sndcdn.com/artworks-7VukdjKMeHzjgZHb-t9P5Yg-large.jpg,2021-03-04T07:30:08Z,finished,single-track,https://wave.sndcdn.com/maHoLFhzYjOp_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6ImJlZGM0YzVjLWI5Y2MtNGRiMC1hODRiLTc5MzMzOWNhNDJmNiIsImlhdCI6MTYzOTU1Nzc5OX0.xIZ8atBCWHUenRl71Wq0-L6AfqAHdM2cqLAQHpv6gYc,BLACKBOX,MONETIZE
171082717,Roxette - It Must Have Been Love,roxette-it-must-have-been-love,https://soundcloud.com/xussr/roxette-it-must-have-been-love,2014-10-07T19:59:43Z,2021-01-05T06:21:22Z,None,240452,240452,all,roxett,28402,True,215,False,0,116998888,all-rights-reserved,1119,public,None,None,True,None,None,None,None,None,None,None,None,None,None,None,https://api.soundcloud.com/tracks/171082717,https://i1.sndcdn.com/artworks-000093243193-7rqvql-large.jpg,2014-10-07T19:59:43Z,finished,single-track,https://wave.sndcdn.com/fhso650ttSBN_m.json,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJVUyIsInN1YiI6IiIsInJpZCI6IjUzZWU3NWEyLWUwMTItNDk2My1hMDlmLTA1ZGZhYmE1MDY3MyIsImlhdCI6MTYzOTU1Nzc5OX0.sroQ6J7yCKm6jtgy_lfQKYXqm18SINDcbvqckRxoIhg,BLACKBOX,MONETIZE
